iter	Passed	Remaining
404	8422	12374
405	8442	12351
406	8460	12326
407	8477	12301
408	8495	12276
409	8514	12253
410	8534	12230
411	8552	12206
412	8570	12181
413	8592	12163
414	8614	12143
415	8636	12124
416	8657	12104
417	8681	12087
418	8700	12064
419	8719	12041
420	8738	12018
421	8756	11993
422	8774	11968
423	8797	11951
424	8822	11936
425	8843	11916
426	8863	11894
427	8884	11873
428	8906	11854
429	8927	11834
430	8949	11815
431	8971	11795
432	8992	11775
433	9014	11756
434	9039	11740
435	9059	11719
436	9079	11697
437	9097	11673
438	9117	11651
439	9136	11628
440	9155	11605
441	9175	11583
442	9195	11561
443	9218	11544
444	9241	11525
445	9262	11505
446	9284	11485
447	9303	11463
448	9324	11442
449	9342	11418
450	9362	11396
451	9380	11372
452	9397	11347
453	9421	11330
454	9446	11314
455	9467	11294
456	9487	11272
457	9505	11248
458	9525	11227
459	9545	11205
460	9564	11182
461	9585	11162
462	9603	11138
463	9622	11115
464	9644	11096
465	9667	11078
466	9688	11057
467	9707	11034
468	9724	11010
469	9744	10988
470	9763	10965
471	9793	10955
472	9814	10935
473	9833	10912
474	9850	10887
475	9870	10865
476	9894	10848
477	9915	10827
478	9933	10804
479	9955	10784
480	9973	10761
481	9994	10740
482	10018	10723
483	10040	10704
484	10062	10684
485	10084	10665
486	10101	10641
487	10118	10616
488	10137	10593
489	10155	10570
490	10173	10546
491	10193	10525
492	10213	10503
493	10236	10484
494	10259	10467
495	10279	10445
496	10300	10424
497	10320	10403
498	10340	10381
499	10359	10359
500	10378	10337
501	10398	10315
502	10417	10292
503	10440	10274
504	10462	10255
505	10485	10237
506	10507	10216
507	10526	10195
508	10545	10172
509	10563	10149
510	10581	10125
511	10599	10102
512	10618	10080
513	10643	10063
514	10668	10046
515	10688	10025
516	10708	10004
517	10729	9983
518	10748	9961
519	10766	9938
520	10784	9915
521	10806	9895
522	10828	9875
523	10853	9859
524	10877	9841
525	10901	9823
526	10922	9803
527	10942	9781
528	10963	9761
529	10984	9740
530	11002	9717
531	11020	9694
532	11038	9671
533	11064	9655
534	11086	9635
535	11104	9612
536	11121	9589
537	11140	9566
538	11159	9544
539	11178	9522
540	11198	9500
541	11220	9481
542	11246	9465
543	11272	9448
544	11298	9432
545	11320	9412
546	11341	9392
547	11363	9372
548	11384	9352
549	11403	9330
550	11424	9309
551	11447	9290
552	11470	9271
553	11489	9249
554	11507	9226
555	11525	9203
556	11543	9181
557	11563	9159
558	11582	9137
559	11603	9117
560	11623	9096
561	11648	9078
562	11670	9058
563	11691	9037
564	11711	9016
565	11729	8994
566	11748	8971
567	11766	8949
568	11786	8928
569	11808	8908
570	11829	8887
571	11854	8869
572	11878	8851
573	11900	8832
574	11922	8812
575	11944	8792
576	11964	8771
577	11983	8749
578	12003	8727
579	12022	8706
580	12040	8683
581	12061	8663
582	12086	8645
583	12107	8624
584	12127	8602
585	12144	8580
586	12164	8558
587	12183	8536
588	12202	8515
589	12222	8493
590	12242	8472
591	12266	8453
592	12289	8434
593	12308	8412
594	12329	8392
595	12348	8370
596	12367	8348
597	12385	8326
598	12404	8304
599	12422	8281
600	12446	8263
601	12470	8244
602	12495	8226
603	12515	8205
604	12534	8183
605	12551	8160
606	12571	8139
607	12592	8118
608	12613	8098
609	12631	8075
610	12649	8053
611	12672	8034
612	12696	8015
613	12717	7995
614	12737	7973
615	12755	7951
616	12776	7931
617	12798	7910
618	12821	7891
619	12851	7876
620	12884	7863
621	12955	7873
622	13013	7874
623	13046	7861
624	13079	7847
625	13141	7851
626	13178	7839
627	13215	7828
628	13241	7810
629	13261	7788
630	13283	7767
631	13308	7749
632	13331	7729
633	13357	7710
634	13380	7691
635	13402	7670
636	13421	7648
637	13442	7627
638	13464	7606
639	13484	7585
640	13507	7564
641	13525	7542
642	13544	7520
643	13568	7500
644	13593	7481
645	13615	7460
646	13636	7440
647	13656	7418
648	13674	7395
649	13698	7376
650	13725	7358
651	13747	7337
652	13768	7316
653	13797	7299
654	13829	7284
655	13855	7265
656	13881	7246
657	13905	7227
658	13936	7211
659	13959	7191
660	13978	7168
661	13996	7146
662	14017	7124
663	14036	7103
664	14059	7082
665	14089	7066
666	14116	7047
667	14144	7030
668	14172	7012
669	14202	6995
670	14232	6978
671	14263	6962
672	14289	6942
673	14313	6922
674	14336	6902
675	14362	6883
676	14387	6864
677	14410	6843
678	14438	6825
679	14463	6806
680	14485	6785
681	14509	6765
682	14531	6744
683	14557	6725
684	14581	6705
685	14600	6683
686	14621	6661
687	14645	6641
688	14666	6620
689	14688	6599
690	14713	6579
691	14744	6562
692	14770	6543
693	14799	6525
694	14837	6511
695	14869	6494
696	14901	6477
697	14933	6461
698	14962	6443
699	14989	6423
700	15020	6406
701	15045	6387
702	15074	6368
703	15106	6351
704	15136	6333
705	15168	6316
706	15206	6301
707	15240	6285
708	15269	6267
709	15293	6246
710	15317	6226
711	15342	6206
712	15369	6186
713	15394	6166
714	15417	6145
715	15443	6125
716	15469	6105
717	15492	6084
718	15515	6063
719	15537	6042
720	15560	6021
721	15580	5999
722	15600	5976
723	15621	5955
724	15644	5934
725	15665	5912
726	15691	5892
727	15714	5871
728	15738	5850
729	15760	5829
730	15781	5807
731	15800	5785
732	15819	5762
733	15838	5739
734	15857	5717
735	15875	5694
736	15904	5675
737	15932	5656
738	15960	5636
739	15986	5616
740	16014	5597
741	16041	5577
742	16072	5559
743	16099	5539
744	16124	5518
745	16150	5498
746	16179	5479
747	16206	5460
748	16234	5440
749	16258	5419
750	16282	5398
751	16309	5378
752	16335	5358
753	16364	5339
754	16386	5317
755	16406	5295
756	16426	5272
757	16446	5250
758	16464	5227
759	16483	5205
760	16503	5182
761	16524	5161
762	16547	5140
763	16572	5119
764	16599	5099
765	16620	5077
766	16656	5059
767	16746	5058
768	16803	5047
769	16844	5031
770	16889	5016
771	16930	5000
772	16977	4985
773	17016	4968
774	17050	4950
775	17079	4930
776	17135	4918
777	17178	4901
778	17222	4886
779	17282	4874
780	17305	4852
781	17337	4833
782	17409	4824
783	17480	4816
784	17536	4802
785	17583	4787
786	17638	4773
787	17664	4752
788	17691	4731
789	17716	4709
790	17745	4688
791	17772	4667
792	17796	4645
793	17817	4622
794	17837	4599
795	17860	4577
796	17886	4555
797	17908	4533
798	17928	4510
799	17948	4487
800	17968	4464
801	17988	4441
802	18008	4417
803	18027	4394
804	18045	4371
805	18069	4349
806	18091	4326
807	18112	4303
808	18133	4281
809	18154	4258
810	18175	4235
811	18193	4212
812	18213	4189
813	18233	4166
814	18253	4143
815	18275	4121
816	18299	4098
817	18324	4077
818	18349	4055
819	18369	4032
820	18391	4009
821	18441	3993
822	18514	3981
823	18571	3966
824	18631	3952
825	18700	3939
826	18732	3918
827	18753	3895
828	18778	3873
829	18803	3851
830	18830	3829
831	18849	3806
832	18868	3782
833	18887	3759
834	18907	3736
835	18939	3715
836	18965	3693
837	18983	3669
838	19000	3646
839	19018	3622
840	19037	3599
841	19056	3575
842	19076	3552
843	19096	3529
844	19115	3506
845	19140	3484
846	19162	3461
847	19183	3438
848	19204	3415
849	19223	3392
850	19242	3369
851	19261	3345
852	19280	3322
853	19301	3299
854	19319	3276
855	19341	3253
856	19367	3231
857	19396	3210
858	19420	3187
859	19439	3164
860	19459	3141
861	19475	3117
862	19496	3095
863	19516	3072
864	19536	3049
865	19563	3027
866	19589	3005
867	19616	2983
868	19646	2961
869	19672	2939
870	19692	2916
871	19715	2893
872	19735	2871
873	19756	2848
874	19780	2825
875	19802	2803
876	19826	2780
877	19848	2758
878	19870	2735
879	19890	2712
880	19909	2689
881	19928	2666
882	19947	2643
883	19965	2619
884	19989	2597
885	20013	2575
886	20035	2552
887	20058	2529
888	20076	2506
889	20095	2483
890	20114	2460
891	20132	2437
892	20150	2414
893	20171	2391
894	20194	2369
895	20216	2346
896	20240	2324
897	20261	2301
898	20285	2279
899	20307	2256
900	20328	2233
901	20347	2210
902	20366	2187
903	20386	2164
904	20410	2142
905	20438	2120
906	20460	2097
907	20480	2075
908	20498	2052
909	20518	2029
910	20537	2006
911	20558	1983
912	20579	1961
913	20599	1938
914	20623	1915
915	20644	1893
916	20665	1870
917	20683	1847
918	20702	1824
919	20720	1801
