iter	RMSE
0	0.1864707015
1	0.179776384
2	0.1733189713
3	0.1676106089
4	0.1621917935
5	0.157294945
6	0.1529244554
7	0.148825099
8	0.1449491755
9	0.1415225412
10	0.1384075642
11	0.1355739958
12	0.1331557886
13	0.130902909
14	0.1289572378
15	0.1269210365
16	0.125218133
17	0.1235628482
18	0.1221903586
19	0.1209279908
20	0.1197828865
21	0.1187579878
22	0.1177679738
23	0.1168623258
24	0.1161142198
25	0.1153147922
26	0.1146189549
27	0.1140076424
28	0.1134166021
29	0.1129151512
30	0.1124310609
31	0.1119662764
32	0.1115554054
33	0.1111643431
34	0.1107769171
35	0.1104734275
36	0.1102075565
37	0.1099664626
38	0.1097687757
39	0.1095366188
40	0.1092496283
41	0.1089858227
42	0.1087297938
43	0.1085447618
44	0.108390599
45	0.1082518598
46	0.1080503581
47	0.1079187315
48	0.1077830969
49	0.107641875
50	0.1074325275
51	0.1073201127
52	0.1071947852
53	0.1070810375
54	0.1069781662
55	0.1068789041
56	0.1067769074
57	0.1066914834
58	0.1066187125
59	0.1065171384
60	0.1064092359
61	0.1063432562
62	0.1062285434
63	0.1061449491
64	0.106059173
65	0.1059623532
66	0.1058453362
67	0.1057835662
68	0.1056696035
69	0.1055648878
70	0.1054878412
71	0.1054293075
72	0.1053544419
73	0.1053007206
74	0.1052472513
75	0.1051964828
76	0.10514298
77	0.1050577876
78	0.1049787398
79	0.1048914738
80	0.104846958
81	0.1047717032
82	0.1047070526
83	0.1045970539
84	0.1045247884
85	0.1044706214
86	0.1043883191
87	0.1043293157
88	0.1042777517
89	0.1042208709
90	0.1041537823
91	0.1040764783
92	0.1040144009
93	0.1039676462
94	0.1039158241
95	0.1038669421
96	0.1038008158
97	0.1037330956
98	0.1036611468
99	0.1035902569
100	0.1034857305
101	0.1034334428
102	0.103360977
103	0.1033054824
104	0.1032450631
105	0.1032057954
106	0.1031439489
107	0.103083862
108	0.1030327507
109	0.1030049429
110	0.1029521668
111	0.1029055475
112	0.1028468869
113	0.1027795122
114	0.1027218209
115	0.1026259196
116	0.1025423845
117	0.1024874092
118	0.1024199423
119	0.1023538822
120	0.1023208471
121	0.102277266
122	0.1022448
123	0.1021919188
124	0.102152211
125	0.1021105131
126	0.1020705835
127	0.1020401271
128	0.1020088514
129	0.1019730707
130	0.1019277225
131	0.1018765344
132	0.1018175262
133	0.1017694245
134	0.1017371434
135	0.1017017908
136	0.1016769185
137	0.1016385775
138	0.1015933574
139	0.1015603905
140	0.1015069328
141	0.1014753026
142	0.1014446946
143	0.101391104
144	0.1013340979
145	0.1012982557
146	0.1012471114
147	0.1012199319
148	0.1011477449
149	0.1011032669
150	0.1010401196
151	0.1010064237
152	0.1009413827
153	0.1008955408
154	0.1008627915
155	0.1008321396
156	0.1008047328
157	0.1007778024
158	0.1007553579
159	0.1007117901
160	0.100675717
161	0.100651488
162	0.1006169508
163	0.100576489
